Gabe Silverstein vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-44,-52,-45,-40,-40,-13,10034
1,Ivysaur,-29,-39,-31,-25,-25,2,4577
2,Venusaur,-9,-19,-11,-5,-5,22,1097
3,Venusaur (Mega Venusaur),-9,-1,29,17,15,22,1921
4,Charmander,-50,-49,-51,-45,-55,7,12601
5,Charmeleon,-31,-37,-36,-25,-40,22,6335
6,Charizard,-11,-17,-16,4,-20,42,2846
7,Charizard (Mega Charizard X),-11,29,17,25,-20,42,4040
8,Charizard (Mega Charizard Y),-11,3,-16,54,10,42,5166
9,Squirtle,-45,-53,-29,-55,-41,-15,10606
10,Wartortle,-30,-38,-14,-40,-25,0,4765
11,Blastoise,-10,-18,6,-20,0,20,1260
12,Blastoise (Mega Blastoise),-10,2,26,30,10,20,2180
13,Caterpie,-44,-71,-59,-85,-85,-13,25077
14,Metapod,-39,-81,-39,-80,-80,-28,23187
15,Butterfree,-29,-56,-44,-15,-25,12,6907
16,Weedle,-49,-66,-64,-85,-85,-8,25367
17,Kakuna,-44,-76,-44,-80,-80,-23,22977
18,Beedrill,-24,-11,-54,-60,-25,17,8127
19,Beedrill (Mega Beedrill),-24,49,-54,-90,-25,87,22187
20,Pidgey,-49,-56,-54,-70,-70,-2,18257
21,Pidgeotto,-26,-41,-39,-55,-55,13,10097
22,Pidgeot,-6,-21,-19,-35,-35,43,5137
23,Pidgeot (Mega Pidgeot),-6,-21,-14,30,-25,63,6167
24,Rattata,-59,-45,-59,-80,-70,14,20483
25,Rattata (Alolan Rattata),-59,-45,-59,-80,-70,14,20483
26,Raticate,-34,-20,-34,-55,-35,39,8483
27,Raticate (Alolan Raticate),-14,-30,-24,-65,-25,19,6883
28,Spearow,-49,-41,-64,-74,-74,12,19274
29,Fearow,-24,-11,-29,-44,-44,42,7174
30,Ekans,-54,-41,-50,-65,-51,-3,13932
31,Arbok,-29,-6,-25,-40,-26,22,4262
32,Pikachu,-54,-46,-54,-55,-55,32,15022
33,Pikachu (Partner Pikachu),-44,-21,-44,-30,-45,62,11082
34,Raichu,-29,-11,-39,-15,-25,52,6037
35,Raichu (Alolan Raichu),-29,-16,-44,-10,-20,52,6237
36,Sandshrew,-39,-26,-9,-85,-75,-18,15452
