Jack Massingill vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-43,-53,-53,-55,-37,-38,13305
1,Ivysaur,-28,-40,-39,-40,-22,-23,6518
2,Venusaur,-8,-20,-19,-20,-2,-3,1238
3,Venusaur (Mega Venusaur),-8,-2,21,2,18,-3,846
4,Charmander,-49,-50,-59,-60,-52,-18,15010
5,Charmeleon,-30,-38,-44,-40,-37,-3,7258
6,Charizard,-10,-18,-24,-11,-17,17,1699
7,Charizard (Mega Charizard X),-10,28,9,10,-17,17,1643
8,Charizard (Mega Charizard Y),-10,2,-24,39,13,17,2659
9,Squirtle,-44,-54,-37,-70,-38,-40,14165
10,Wartortle,-29,-39,-22,-55,-22,-25,6980
11,Blastoise,-9,-19,-2,-35,3,-5,1705
12,Blastoise (Mega Blastoise),-9,1,18,15,13,-5,825
13,Caterpie,-43,-72,-67,-100,-82,-38,29690
14,Metapod,-38,-82,-47,-95,-77,-53,28140
15,Butterfree,-28,-57,-52,-30,-22,-13,8290
16,Weedle,-48,-67,-72,-100,-82,-33,29790
17,Kakuna,-43,-77,-52,-95,-77,-48,27740
18,Beedrill,-23,-12,-62,-75,-22,-8,10690
19,Beedrill (Mega Beedrill),-23,48,-62,-105,-22,62,22030
20,Pidgey,-48,-57,-62,-85,-67,-27,21840
21,Pidgeotto,-25,-42,-47,-70,-52,-12,12346
22,Pidgeot,-5,-22,-27,-50,-32,18,5086
23,Pidgeot (Mega Pidgeot),-5,-22,-22,15,-22,38,3146
24,Rattata,-58,-46,-67,-95,-67,-11,23604
25,Rattata (Alolan Rattata),-58,-46,-67,-95,-67,-11,23604
26,Raticate,-33,-21,-42,-70,-32,14,9414
27,Raticate (Alolan Raticate),-13,-31,-32,-80,-22,-6,9074
28,Spearow,-48,-42,-72,-89,-71,-13,22383
29,Fearow,-23,-12,-37,-59,-41,17,7493
30,Ekans,-53,-42,-58,-80,-48,-28,17425
31,Arbok,-28,-7,-33,-55,-23,-3,5485
32,Pikachu,-53,-47,-62,-70,-52,7,16515
33,Pikachu (Partner Pikachu),-43,-22,-52,-45,-42,37,10195
34,Raichu,-28,-12,-47,-30,-22,27,5250
35,Raichu (Alolan Raichu),-28,-17,-52,-25,-17,27,5420
36,Sandshrew,-38,-27,-17,-100,-72,-43,19495
37,Sandshrew (Alolan Sandshrew),-38,-27,-12,-110,-67,-43,20755
38,Sandslash,-13,-2,8,-75,-47,-18,8395
39,Sandslash (Alolan Sandslash),-13,-2,18,-95,-37,-18,11215
40,Nidoran♀,-33,-55,-50,-80,-62,-42,18622
41,Nidorina,-18,-40,-35,-65,-47,-27,10312
42,Nidoqueen,2,-10,-15,-45,-17,-7,2692
43,Nidoran♂,-42,-45,-62,-80,-62,-33,18966
44,Nidorino,-27,-30,-45,-65,-47,-18,10412
45,Nidoking,-7,0,-25,-35,-27,2,2632
46,Clefairy,-18,-57,-54,-60,-37,-48,13762
47,Clefable,7,-32,-29,-25,-12,-23,3212
48,Vulpix,-50,-61,-62,-70,-37,-18,16658
49,Vulpix (Alolan Vulpix),-50,-61,-62,-70,-37,-18,16658
50,Ninetales,-15,-26,-27,-39,-2,17,3444
51,Ninetales (Alolan Ninetales),-15,-35,-27,-39,-2,26,4380
52,Jigglypuff,27,-57,-82,-75,-77,-63,26225
53,Wigglytuff,52,-32,-57,-35,-52,-38,12350
54,Zubat,-48,-57,-67,-90,-62,-28,22770
55,Golbat,-13,-22,-32,-55,-27,7,5480
56,Oddish,-43,-52,-47,-45,-37,-53,12965
57,Gloom,-28,-37,-32,-35,-27,-43,6980
58,Vileplume,-13,-22,-17,-10,-12,-33,2275
59,Paras,-53,-32,-47,-75,-47,-58,17240
60,Parasect,-28,-7,-22,-60,-22,-53,8210
61,Venonat,-28,-47,-52,-80,-47,-38,15750
62,Venomoth,-18,-37,-42,-30,-27,7,5135
63,Diglett,-78,-47,-77,-85,-57,12,24840
64,Diglett (Alolan Diglett),-78,-47,-72,-85,-57,7,24000
65,Dugtrio,-53,-2,-52,-70,-32,37,12810
66,Dugtrio (Alolan Dugtrio),-53,-2,-42,-70,-32,27,11230
67,Meowth,-48,-57,-67,-80,-62,7,20335
68,Meowth (Alolan Meowth),-48,-67,-67,-70,-62,7,20075
69,Meowth (Galarian Meowth),-38,-37,-47,-80,-62,-43,17115
70,Persian,-23,-32,-42,-55,-37,32,8735
71,Persian (Alolan Persian),-23,-42,-42,-45,-37,32,8475
72,Psyduck,-38,-50,-54,-55,-52,-28,13373
73,Golduck,-8,-20,-24,-25,-22,2,2153
74,Mankey,-48,-22,-67,-85,-57,-13,17920
75,Primeape,-23,3,-42,-60,-32,12,7070
76,Growlithe,-33,-32,-57,-50,-52,-23,11095
77,Growlithe (Hisuian Growlithe),-28,-27,-57,-55,-52,-28,11275
78,Arcanine,2,8,-22,-20,-22,12,1580
79,Arcanine (Hisuian Arcanine),7,13,-22,-25,-22,7,1860
80,Poliwag,-48,-52,-62,-80,-62,7,19145
81,Poliwhirl,-23,-37,-37,-70,-52,7,10920
82,Poliwrath,2,-7,-7,-50,-12,-13,2915
83,Abra,-63,-82,-87,-15,-47,7,20745
84,Kadabra,-48,-67,-72,0,-32,22,13485
85,Alakazam,-33,-52,-57,15,-7,37,8685
86,Alakazam (Mega Alakazam),-33,-52,-37,55,3,67,12685
87,Machop,-18,-22,-52,-85,-67,-48,17530
88,Machoke,-8,-2,-32,-70,-42,-38,9200
89,Machamp,2,28,-22,-55,-17,-28,5370
90,Bellsprout,-38,-27,-67,-50,-72,-43,16195
91,Weepinbell,-23,-12,-52,-35,-57,-28,8635
92,Victreebel,-8,3,-37,-20,-32,-13,3035
93,Tentacool,-48,-62,-67,-70,-2,-13,15710
94,Tentacruel,-8,-32,-37,-40,18,17,4670
95,Geodude,-48,-22,-2,-90,-72,-63,20045
96,Geodude (Alolan Geodude),-48,-22,-2,-90,-72,-63,20045
97,Graveler,-33,-7,13,-75,-57,-48,12485
98,Graveler (Alolan Graveler),-33,-7,13,-75,-57,-48,12485
99,Golem,-8,18,28,-65,-37,-38,8210
100,Golem (Alolan Golem),-8,18,28,-65,-37,-38,8210
101,Ponyta,-38,-17,-47,-55,-37,7,8385
102,Ponyta (Galarian Ponyta),-38,-17,-47,-55,-37,7,8385
103,Rapidash,-23,-2,-32,-40,-22,22,4125
104,Rapidash (Galarian Rapidash),-23,-2,-32,-40,-22,22,4125
105,Slowpoke,2,-37,-37,-80,-62,-68,17610
106,Slowpoke (Galarian Slowpoke),2,-37,-37,-80,-62,-68,17610
107,Slowbro,7,-27,8,-20,-22,-53,4535
108,Slowbro (Mega Slowbro),7,-27,78,10,-22,-53,10255
109,Slowbro (Galarian Slowbro),7,-2,-7,-20,-32,-53,4335
110,Magnemite,-63,-67,-32,-25,-47,-38,13760
111,Magneton,-38,-42,-7,0,-32,-13,4450
112,Farfetch'd,-36,-12,-47,-62,-40,-23,9622
113,Farfetch'd (Galarian Farfetch'd),-36,-7,-47,-62,-40,-28,9782
114,Doduo,-53,-17,-57,-85,-67,-8,18125
115,Dodrio,-28,8,-32,-60,-42,27,7965
116,Seel,-23,-57,-47,-75,-32,-38,14080
117,Dewgong,2,-32,-22,-50,-7,-13,4230
118,Grimer,-8,-22,-52,-80,-52,-58,15720
119,Grimer (Alolan Grimer),-8,-22,-52,-80,-52,-58,15720
120,Muk,17,3,-27,-55,-2,-33,5145
121,Muk (Alolan Muk),17,3,-27,-55,-2,-33,5145
122,Shellder,-58,-37,-2,-75,-77,-43,18140
123,Cloyster,-38,-7,78,-35,-57,-13,12220
124,Gastly,-58,-67,-72,-20,-67,-3,17935
125,Haunter,-43,-52,-57,-5,-47,12,10180
126,Gengar,-28,-37,-42,10,-27,27,5475
127,Gengar (Mega Gengar),-28,-37,-22,50,-7,47,7395
128,Onix,-53,-57,58,-90,-57,-13,20940
129,Drowzee,-28,-54,-57,-77,-12,-41,14703
130,Hypno,-3,-29,-32,-47,13,-16,4508
131,Krabby,-58,3,-12,-95,-77,-33,19560
132,Kingler,-33,28,13,-70,-52,-8,9710
133,Voltorb,-48,-72,-52,-65,-47,17,16915
134,Voltorb (Hisuian Voltorb),-48,-72,-52,-65,-47,17,16915
135,Electrode,-28,-52,-32,-40,-22,67,11085
136,Electrode (Hisuian Electrode),-28,-52,-32,-40,-22,67,11085
137,Exeggcute,-28,-62,-22,-60,-57,-43,13810
138,Exeggutor,7,-7,-17,5,-27,-28,1925
139,Exeggutor (Alolan Exeggutor),7,3,-17,5,-27,-38,2545
140,Cubone,-38,-52,-7,-80,-52,-48,15605
141,Marowak,-28,-22,8,-70,-22,-38,8160
142,Marowak (Alolan Marowak),-28,-22,8,-70,-22,-38,8160
143,Hitmonlee,-38,18,-49,-85,8,4,11474
144,Hitmonchan,-38,3,-23,-85,8,-7,9320
145,Lickitung,2,-47,-27,-60,-27,-53,10080
