Paul Bartenfeld vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-39,-11,-11,-2,-14,-43,3812
1,Ivysaur,-24,2,3,13,1,-28,1543
2,Venusaur,-4,22,23,33,21,-8,2623
3,Venusaur (Mega Venusaur),-4,40,63,55,41,-8,10355
4,Charmander,-45,-8,-17,-7,-29,-23,3797
5,Charmeleon,-26,4,-2,13,-14,-8,1125
6,Charizard,-6,24,18,42,6,12,2880
7,Charizard (Mega Charizard X),-6,70,51,63,6,12,11686
8,Charizard (Mega Charizard Y),-6,44,18,92,36,12,12200
9,Squirtle,-40,-12,5,-17,-15,-45,4308
10,Wartortle,-25,3,20,-2,1,-30,1939
11,Blastoise,-5,23,40,18,26,-10,3254
12,Blastoise (Mega Blastoise),-5,43,60,68,36,-10,11494
13,Caterpie,-39,-30,-25,-47,-59,-43,10585
14,Metapod,-34,-40,-5,-42,-54,-58,10825
15,Butterfree,-24,-15,-10,23,1,-18,1755
16,Weedle,-44,-25,-30,-47,-59,-38,10595
17,Kakuna,-39,-35,-10,-42,-54,-53,10335
18,Beedrill,-19,30,-20,-22,1,-13,2315
19,Beedrill (Mega Beedrill),-19,90,-20,-52,1,57,14815
20,Pidgey,-44,-15,-20,-32,-44,-32,6545
21,Pidgeotto,-21,0,-5,-17,-29,-17,1885
22,Pidgeot,-1,20,15,3,-9,13,885
23,Pidgeot (Mega Pidgeot),-1,20,20,68,1,33,6515
24,Rattata,-54,-4,-25,-42,-44,-16,7513
25,Rattata (Alolan Rattata),-54,-4,-25,-42,-44,-16,7513
26,Raticate,-29,21,0,-17,-9,9,1733
27,Raticate (Alolan Raticate),-9,11,10,-27,1,-11,1153
28,Spearow,-44,0,-30,-36,-48,-18,6760
29,Fearow,-19,30,5,-6,-18,12,1790
30,Ekans,-49,0,-16,-27,-25,-33,5100
31,Arbok,-24,35,9,-2,0,-8,1950
32,Pikachu,-49,-5,-20,-17,-29,2,3960
33,Pikachu (Partner Pikachu),-39,20,-10,8,-19,32,3470
