Roman Ramirez vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-43,-67,-71,-47,-38,-8,15096
1,Ivysaur,-28,-54,-57,-32,-23,7,8551
2,Venusaur,-8,-34,-37,-12,-3,27,3471
3,Venusaur (Mega Venusaur),-8,-16,3,10,17,27,1447
4,Charmander,-49,-64,-77,-52,-53,12,18083
5,Charmeleon,-30,-52,-62,-32,-38,27,10645
6,Charizard,-10,-32,-42,-3,-18,47,5430
7,Charizard (Mega Charizard X),-10,14,-9,18,-18,47,3234
8,Charizard (Mega Charizard Y),-10,-12,-42,47,12,47,6570
9,Squirtle,-44,-68,-55,-62,-39,-10,15050
10,Wartortle,-29,-53,-40,-47,-23,5,8013
11,Blastoise,-9,-33,-20,-27,2,25,2928
12,Blastoise (Mega Blastoise),-9,-13,0,23,12,25,1548
13,Caterpie,-43,-86,-85,-92,-83,-8,31887
14,Metapod,-38,-96,-65,-87,-78,-23,29067
15,Butterfree,-28,-71,-70,-22,-23,17,12027
16,Weedle,-48,-81,-90,-92,-83,-3,32327
17,Kakuna,-43,-91,-70,-87,-78,-18,29007
18,Beedrill,-23,-26,-80,-67,-23,22,13107
19,Beedrill (Mega Beedrill),-23,34,-80,-97,-23,92,26487
20,Pidgey,-48,-71,-80,-77,-68,3,24307
21,Pidgeotto,-25,-56,-65,-62,-53,18,14963
22,Pidgeot,-5,-36,-45,-42,-33,48,8503
23,Pidgeot (Mega Pidgeot),-5,-36,-40,23,-23,68,8603
24,Rattata,-58,-60,-85,-87,-68,19,26743
25,Rattata (Alolan Rattata),-58,-60,-85,-87,-68,19,26743
26,Raticate,-33,-35,-60,-62,-33,44,12783
27,Raticate (Alolan Raticate),-13,-45,-50,-72,-23,24,10983
28,Spearow,-48,-56,-90,-81,-72,17,25574
29,Fearow,-23,-26,-55,-51,-42,47,10804
30,Ekans,-53,-56,-76,-72,-49,2,19310
31,Arbok,-28,-21,-51,-47,-24,27,7340
32,Pikachu,-53,-61,-80,-62,-53,37,20952
33,Pikachu (Partner Pikachu),-43,-36,-70,-37,-43,67,15752
34,Raichu,-28,-26,-65,-22,-23,57,9947
35,Raichu (Alolan Raichu),-28,-31,-70,-17,-18,57,10507
36,Sandshrew,-38,-41,-35,-92,-73,-13,18312
37,Sandshrew (Alolan Sandshrew),-38,-41,-30,-102,-68,-13,19222
38,Sandslash,-13,-16,-10,-67,-48,12,7462
39,Sandslash (Alolan Sandslash),-13,-16,0,-87,-38,12,9582
40,Nidoran♀,-33,-69,-68,-72,-63,-12,19771
41,Nidorina,-18,-54,-53,-57,-48,3,11611
42,Nidoqueen,2,-24,-33,-37,-18,23,3891
43,Nidoran♂,-42,-59,-80,-72,-63,-3,20807
44,Nidorino,-27,-44,-63,-57,-48,12,12331
45,Nidoking,-7,-14,-43,-27,-28,32,4631
46,Clefairy,-18,-71,-72,-52,-38,-18,15021
47,Clefable,7,-46,-47,-17,-13,7,4881
48,Vulpix,-50,-75,-80,-62,-38,12,19957
49,Vulpix (Alolan Vulpix),-50,-75,-80,-62,-38,12,19957
50,Ninetales,-15,-40,-45,-31,-3,47,7029
51,Ninetales (Alolan Ninetales),-15,-49,-45,-31,-3,56,8757
52,Jigglypuff,27,-71,-100,-67,-78,-33,27432
53,Wigglytuff,52,-46,-75,-27,-53,-8,14047
54,Zubat,-48,-71,-85,-82,-63,2,25267
55,Golbat,-13,-36,-50,-47,-28,37,8327
56,Oddish,-43,-66,-65,-37,-38,-23,13772
57,Gloom,-28,-51,-50,-27,-28,-13,7567
58,Vileplume,-13,-36,-35,-2,-13,-3,2872
59,Paras,-53,-46,-65,-67,-48,-28,16727
60,Parasect,-28,-21,-40,-52,-23,-23,6587
61,Venonat,-28,-61,-70,-72,-48,-8,16957
62,Venomoth,-18,-51,-60,-22,-28,37,9162
63,Diglett,-78,-61,-95,-77,-58,42,29887
64,Diglett (Alolan Diglett),-78,-61,-90,-77,-58,37,28567
65,Dugtrio,-53,-16,-70,-62,-33,67,17387
66,Dugtrio (Alolan Dugtrio),-53,-16,-60,-62,-33,57,14847
67,Meowth,-48,-71,-85,-72,-63,37,25092
68,Meowth (Alolan Meowth),-48,-81,-85,-62,-63,37,25272
69,Meowth (Galarian Meowth),-38,-51,-65,-72,-63,-13,17592
70,Persian,-23,-46,-60,-47,-38,62,13742
71,Persian (Alolan Persian),-23,-56,-60,-37,-38,62,13922
