Rose Roché vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-17,-44,-38,5,-13,-15,4088
1,Ivysaur,-2,-31,-24,20,2,0,1945
2,Venusaur,18,-11,-4,40,22,20,2945
3,Venusaur (Mega Venusaur),18,7,36,62,42,20,7677
4,Charmander,-23,-41,-44,0,-28,5,4955
5,Charmeleon,-4,-29,-29,20,-13,20,2667
6,Charizard,16,-9,-9,49,7,40,4468
7,Charizard (Mega Charizard X),16,37,24,70,7,40,8750
8,Charizard (Mega Charizard Y),16,11,-9,99,37,40,13228
9,Squirtle,-18,-45,-22,-10,-14,-17,3418
10,Wartortle,-3,-30,-7,5,2,-2,991
11,Blastoise,17,-10,13,25,27,18,2236
12,Blastoise (Mega Blastoise),17,10,33,75,37,18,8796
13,Caterpie,-17,-63,-52,-40,-58,-15,12151
14,Metapod,-12,-73,-32,-35,-53,-30,11431
15,Butterfree,-2,-48,-37,30,2,10,4681
16,Weedle,-22,-58,-57,-40,-58,-10,12161
17,Kakuna,-17,-68,-37,-35,-53,-25,10941
18,Beedrill,3,-3,-47,-15,2,15,2681
19,Beedrill (Mega Beedrill),3,57,-47,-45,2,85,14721
20,Pidgey,-22,-48,-47,-25,-43,-4,7487
21,Pidgeotto,1,-33,-32,-10,-28,11,3119
22,Pidgeot,21,-13,-12,10,-8,41,2599
23,Pidgeot (Mega Pidgeot),21,-13,-7,75,2,61,10009
24,Rattata,-32,-37,-52,-35,-43,12,8315
25,Rattata (Alolan Rattata),-32,-37,-52,-35,-43,12,8315
26,Raticate,-7,-12,-27,-10,-8,37,2455
27,Raticate (Alolan Raticate),13,-22,-17,-20,2,17,1635
28,Spearow,-22,-33,-57,-29,-47,10,7972
29,Fearow,3,-3,-22,1,-17,40,2392
30,Ekans,-27,-33,-43,-20,-24,-5,4668
31,Arbok,-2,2,-18,5,1,20,758
32,Pikachu,-27,-38,-47,-10,-28,30,6166
33,Pikachu (Partner Pikachu),-17,-13,-37,15,-18,60,5976
34,Raichu,-2,-3,-32,30,2,50,4441
35,Raichu (Alolan Raichu),-2,-8,-37,35,7,50,5211
36,Sandshrew,-12,-18,-2,-40,-48,-20,4776
37,Sandshrew (Alolan Sandshrew),-12,-18,3,-50,-43,-20,5226
38,Sandslash,13,7,23,-15,-23,5,1526
39,Sandslash (Alolan Sandslash),13,7,33,-35,-13,5,2726
40,Nidoran♀,-7,-46,-35,-20,-38,-19,5595
41,Nidorina,8,-31,-20,-5,-23,-4,1995
42,Nidoqueen,28,-1,0,15,7,16,1315
43,Nidoran♂,-16,-36,-47,-20,-38,-10,5705
44,Nidorino,-1,-21,-30,-5,-23,5,1921
45,Nidoking,19,9,-10,25,-3,25,1801
46,Clefairy,8,-48,-39,0,-13,-25,4683
47,Clefable,33,-23,-14,35,12,0,3183
48,Vulpix,-24,-52,-47,-10,-13,5,5783
49,Vulpix (Alolan Vulpix),-24,-52,-47,-10,-13,5,5783
50,Ninetales,11,-17,-12,21,22,40,3079
51,Ninetales (Alolan Ninetales),11,-26,-12,21,22,49,4267
52,Jigglypuff,53,-48,-67,-15,-53,-40,14236
53,Wigglytuff,78,-23,-42,25,-28,-15,10011
54,Zubat,-22,-48,-52,-30,-38,-5,7861
55,Golbat,13,-13,-17,5,-3,30,1561
56,Oddish,-17,-43,-32,15,-13,-30,4456
57,Gloom,-2,-28,-17,25,-3,-20,2111
58,Vileplume,13,-13,-2,50,12,-10,3086
59,Paras,-27,-23,-32,-15,-23,-35,4261
60,Parasect,-2,2,-7,0,2,-30,961
61,Venonat,-2,-38,-37,-20,-23,-15,3971
62,Venomoth,8,-28,-27,30,-3,30,3386
63,Diglett,-52,-38,-62,-25,-33,35,10931
64,Diglett (Alolan Diglett),-52,-38,-57,-25,-33,30,10011
65,Dugtrio,-27,7,-37,-10,-8,60,5911
66,Dugtrio (Alolan Dugtrio),-27,7,-27,-10,-8,50,4171
67,Meowth,-22,-48,-52,-20,-38,30,8236
68,Meowth (Alolan Meowth),-22,-58,-52,-10,-38,30,8996
69,Meowth (Galarian Meowth),-12,-28,-32,-20,-38,-20,4196
70,Persian,3,-23,-27,5,-13,55,4486
71,Persian (Alolan Persian),3,-33,-27,15,-13,55,5246
72,Psyduck,-12,-41,-39,5,-28,-5,4180
73,Golduck,18,-11,-9,35,2,25,2380
74,Mankey,-22,-13,-52,-25,-33,10,5171
75,Primeape,3,12,-27,0,-8,35,2171
76,Growlithe,-7,-23,-42,10,-28,0,3226
77,Growlithe (Hisuian Growlithe),-2,-18,-42,5,-28,-5,2926
78,Arcanine,28,17,-7,40,2,35,3951
79,Arcanine (Hisuian Arcanine),33,22,-7,35,2,30,3751
80,Poliwag,-22,-43,-47,-20,-38,30,7286
81,Poliwhirl,3,-28,-22,-10,-28,30,3061
82,Poliwrath,28,2,8,10,12,10,1196
83,Abra,-37,-73,-72,45,-23,30,15336
84,Kadabra,-22,-58,-57,60,-8,45,12786
85,Alakazam,-7,-43,-42,75,17,60,13176
86,Alakazam (Mega Alakazam),-7,-43,-22,115,27,90,24436
87,Machop,8,-13,-37,-25,-43,-25,4701
88,Machoke,18,7,-17,-10,-18,-15,1311
89,Machamp,28,37,-7,5,7,-5,2301
