Will Simpson vs. Pokemon SSE,pokemon,D_HP,D_ATK,D_DEF,D_SPA,D_SPD,D_SPE,SSE
0,Bulbasaur,-38,-48,-51,-33,-33,-30,9427
1,Ivysaur,-23,-35,-37,-18,-18,-15,3996
2,Venusaur,-3,-15,-17,2,2,5,556
3,Venusaur (Mega Venusaur),-3,3,23,24,22,5,1632
4,Charmander,-44,-45,-57,-38,-48,-10,11058
5,Charmeleon,-25,-33,-42,-18,-33,5,4916
6,Charizard,-5,-13,-22,11,-13,25,1593
7,Charizard (Mega Charizard X),-5,33,11,32,-13,25,3053
8,Charizard (Mega Charizard Y),-5,7,-22,61,17,25,5193
9,Squirtle,-39,-49,-35,-48,-34,-32,9631
10,Wartortle,-24,-34,-20,-33,-18,-17,3834
11,Blastoise,-4,-14,0,-13,7,3,439
12,Blastoise (Mega Blastoise),-4,6,20,37,17,3,2119
13,Caterpie,-38,-67,-65,-78,-78,-30,23226
14,Metapod,-33,-77,-45,-73,-73,-45,21726
15,Butterfree,-23,-52,-50,-8,-18,-5,6146
16,Weedle,-43,-62,-70,-78,-78,-25,23386
17,Kakuna,-38,-72,-50,-73,-73,-40,21386
18,Beedrill,-18,-7,-60,-53,-18,0,7106
19,Beedrill (Mega Beedrill),-18,53,-60,-83,-18,70,18846
20,Pidgey,-43,-52,-60,-63,-63,-19,16452
21,Pidgeotto,-20,-37,-45,-48,-48,-4,8418
22,Pidgeot,0,-17,-25,-28,-28,26,3158
23,Pidgeot (Mega Pidgeot),0,-17,-20,37,-18,46,4498
24,Rattata,-53,-41,-65,-73,-63,-3,18022
25,Rattata (Alolan Rattata),-53,-41,-65,-73,-63,-3,18022
26,Raticate,-28,-16,-40,-48,-28,22,6212
27,Raticate (Alolan Raticate),-8,-26,-30,-58,-18,2,5332
28,Spearow,-43,-37,-70,-67,-67,-5,17121
29,Fearow,-18,-7,-35,-37,-37,25,4961
30,Ekans,-48,-37,-56,-58,-44,-20,12509
31,Arbok,-23,-2,-31,-33,-19,5,2969
32,Pikachu,-48,-42,-60,-48,-48,15,12501
33,Pikachu (Partner Pikachu),-38,-17,-50,-23,-38,45,8231
34,Raichu,-23,-7,-45,-8,-18,35,4216
35,Raichu (Alolan Raichu),-23,-12,-50,-3,-13,35,4576
36,Sandshrew,-33,-22,-15,-78,-68,-35,13731
37,Sandshrew (Alolan Sandshrew),-33,-22,-10,-88,-63,-35,14611
